E_z_V_per_m,voltage_for_1mm_V,dll_nx_prime,dll_ny_prime,dll_nz_prime,theory_nx_prime,theory_ny_prime,theory_nz_prime,delta_n_theory,dll_delta_n_yx,sensitivity,rotation_m00,rotation_m01,rotation_m10,rotation_m11
0.0,0.0,1.511607,1.511607,1.469857,1.511607,1.511607,1.469857,0.0,0.0,0.0,1.0,0.0,0.0,1.0
200000.0,200.0,1.5116034424388423,1.511610557586276,1.469857,1.5116034424262832,1.5116105575737167,1.469857,3.557573716686284e-06,7.115147433678359e-06,3.557532046727374e-11,0.7071067811865475,0.7071067811865475,-0.7071067811865475,0.7071067811865475
500000.0,500.0,1.5115981061442023,1.5116158940127873,1.469857,1.5115981060657082,1.5116158939342916,1.469857,8.893934291715709e-06,1.7787868584973054e-05,3.557576455648359e-11,0.7071067811865475,0.7071067811865475,-0.7071067811865475,0.7071067811865475
1000000.0,1000.0,1.5115892124453891,1.5116247881825684,1.469857,1.5115892121314165,1.5116247878685833,1.469857,1.7787868583431417e-05,3.557573717927198e-05,3.5575542511878666e-11,0.7071067811865475,0.7071067811865475,-0.7071067811865475,0.7071067811865475
2000000.0,2000.0,1.5115714255186987,1.5116425769931308,1.469857,1.511571424262833,1.5116425757371668,1.469857,3.5575737166862834e-05,7.115147443204073e-05,3.5575986601088516e-11,0.7071067811865475,0.7071067811865475,-0.7071067811865475,0.7071067811865475
5000000.0,5000.0,1.5115180685057805,1.5116959471931546,1.469857,1.5115180606570828,1.511695939342917,1.469857,8.89393429171571e-05,0.00017787868737406676,3.5575542511878666e-11,0.7071067811865476,0.7071067811865475,-0.7071067811865475,0.7071067811865476
10000000.0,10000.0,1.5114291527058792,1.5117849100898637,1.469857,1.5114291213141655,1.5117848786858343,1.469857,0.0001778786858343142,0.00035575738398452295,3.5575986601088516e-11,0.7071067811865475,0.7071067811865475,-0.7071067811865475,0.7071067811865475
